Date,A,B,C
,-7.503997,-4.128803,29.913942
,-7.370215,-4.058388,29.717626
,-7.239056,-3.99497,29.51929
,-7.110689,-3.938351,29.319267
,-6.985267,-3.888326,29.117868
,-6.862928,-3.844687,28.915388
,-6.743799,-3.807224,28.712101
,-6.627991,-3.775727,28.508266
,-6.515603,-3.749987,28.304125
,-6.406724,-3.729797,28.099903
,-6.30143,-3.714954,27.895813
,-6.199785,-3.70526,27.692051
,-6.101845,-3.70052,27.488802
,-6.007654,-3.700547,27.286237
,-5.91725,-3.705161,27.084519
,-5.83066,-3.714189,26.883797
,-5.747904,-3.727464,26.684213
,-5.668995,-3.744828,26.485898
,-5.593941,-3.766132,26.288977
,-5.52274,-3.791234,26.093566
,-5.45539,-3.82,25.899776
,-5.391879,-3.852306,25.707711
,-5.332194,-3.888036,25.51747
,-5.276317,-3.927081,25.329147
,-5.224226,-3.969341,25.142833
,-5.175897,-4.014726,24.958615
,-5.131304,-4.063151,24.776575
,-5.090418,-4.11454,24.596796
,-5.053208,-4.168824,24.419356
,-5.019642,-4.225942,24.244332
,-4.989688,-4.28584,24.071801
,-4.963312,-4.348469,23.901837
,-4.94048,-4.413788,23.734515
,-4.921157,-4.481763,23.569909
,-4.90531,-4.552362,23.408093
,-4.892904,-4.625563,23.249143
,-4.883907,-4.701346,23.093134
,-4.878286,-4.779697,22.940141
,-4.876008,-4.860605,22.790243
,-4.877043,-4.944066,22.643519
,-4.881361,-5.030077,22.50005
,-4.888933,-5.118639,22.359918
,-4.899732,-5.209757,22.223209
,-4.913732,-5.303439,22.09001
,-4.930907,-5.399692,21.960411
,-4.951235,-5.498529,21.834505
,-4.974692,-5.599963,21.712387
,-5.00126,-5.704007,21.594157
,-5.030917,-5.810676,21.479918
,-5.063647,-5.919986,21.369775
,-5.099433,-6.031951,21.263837
,-5.138258,-6.146585,21.162219
,-5.18011,-6.263903,21.065038
,-5.224975,-6.383916,20.972417
,-5.27284,-6.506635,20.88448
,-5.323695,-6.632067,20.801359
,-5.377527,-6.760217,20.723188
,-5.434329,-6.891087,20.650107
,-5.494088,-7.024673,20.58226
,-5.556797,-7.16097,20.519797
,-5.622444,-7.299963,20.462869
,-5.691022,-7.441636,20.411636
,-5.762518,-7.585962,20.366261
,-5.836923,-7.732911,20.32691
,-5.914223,-7.882442,20.293755
,-5.994407,-8.034506,20.266972
,-6.077459,-8.189045,20.24674
,-6.163362,-8.345992,20.233245
,-6.252097,-8.505267,20.226672
,-6.343644,-8.666778,20.227211
,-6.437977,-8.830423,20.235056
,-6.535068,-8.996084,20.2504
,-6.634886,-9.163628,20.273441
,-6.737395,-9.332909,20.304373
,-6.842554,-9.503763,20.343396
,-6.950318,-9.67601,20.390704
,-7.060635,-9.849451,20.44649
,-7.173448,-10.023869,20.510946
