Date,TA,ST1,H2O,SM1,FN2O
,5.08,16.6,7.68332,20.2,6.60279
,5.26,16.35,7.78682,20.25,5.91148
,4.33,16.1,7.34111,20.3,6.02658
,4.04,15.85,7.13198,20.3,5.6696
,4.65,15.6,7.72124,20.3,5.62393
,3.63,15.4,7.06745,20.3,5.73485
,6.1,15.2,8.56184,20.3,5.14464
,7.29,15.1,9.66277,20.3,4.65957
,7.44,15,9.02371,20.3,4.66104
,7.61,15,9.71331,20.3,4.94347
,7.47,15,9.33241,20.3,5.67952
,9.91,15,9.6042,20.3,5.05772
,11.31,15,12.1146,20.3,4.43474
,11.27,15,12.1491,20.35,4.47326
,12.9,15,12.768,20.4,4.39278
,13.01,15.05,13.2223,21.15,4.47682
,13.97,15.1,14.1657,21.9,4.53552
,15.25,15.25,14.7246,21.65,4.51571
,15.31,15.4,16.9023,21.4,4.70764
,17.35,15.6,15.5678,20.8,4.65506
,20.14,15.8,13.385,20.2,5.3707
,20.92,16,13.213,20.25,5.35627
,20.24,16.2,12.7754,20.3,6.31015
,23.56,16.4,12.5676,20.1,6.98645
,22.25,16.6,11.4823,19.9,7.03782
,24.93,16.75,13.7527,20.2,6.81634
,22.52,16.9,11.2095,20.5,7.93364
,21.34,17,11.2653,20.6,7.22279
,25.83,17.1,12.0065,20.7,7.86284
,21.07,17.2,10.6974,20.3,7.91276
,25.15,17.3,12.1769,19.9,8.51199
,22.38,17.35,11.7138,19.85,8.2041
,24.23,17.4,12.1073,19.8,8.52133
,23.24,17.45,12.3472,19.75,7.51762
,21.3,17.5,11.269,19.7,7.89239
,21.62,17.55,11.2273,19.65,7.64841
,21.52,17.6,10.635,19.6,7.2405
,21,17.6,11.0362,19.6,8.08762
,18.57,17.6,11.2289,19.6,7.90005
,18.5,17.55,11.341,19.45,7.94946
,17.15,17.5,11.2523,19.3,7.54952
,16.46,17.45,10.9071,19.2,7.28803
,15.46,17.4,10.782,19.1,6.60974
,15.16,17.3,10.6585,19.55,6.61587
,14.33,17.2,10.6945,20,5.98324
,13.79,17.1,10.5832,20.15,5.83694
,13.56,17,10.5164,20.3,6.03185
,12.59,16.95,10.4265,20.3,5.71556
,11.8,16.9,10.4445,20.3,5.65594
,11.23,16.8,10.4516,20.3,5.79726
,10.58,16.7,10.406,20.3,5.29175
,10.58,16.55,10.4435,20.3,5.58449
,10.02,16.4,10.273,20.3,5.35188
,9.95,16.25,10.176,20.35,5.19536
,10.04,16.1,10.4216,20.4,4.83822
,9.66,16,10.0824,20.3,4.93925
,9.52,15.9,10.1753,20.2,4.70503
,9.22,15.8,10.0185,20.75,4.84682
,9.73,15.7,10.4434,21.3,4.68771
,10.62,15.6,10.8426,21.05,4.68043
,14.01,15.5,11.6894,20.8,4.75105
,14.91,15.55,12.0404,20.35,4.68083
,16.13,15.6,12.1873,19.9,5.20683
,16.87,15.75,12.8616,20.05,5.65408
,17.98,15.9,13.5362,20.2,5.40544
,20.2,16.1,14.3459,19.7,5.21018
,21.07,16.3,14.34,19.2,5.93233
,22.96,16.5,14.7468,19.15,5.75947
,26.07,16.7,15.428,19.1,6.29806
,27.33,16.9,15.0474,19,7.32592
,29.15,17.1,15.6612,18.9,7.57465
,29.3,17.3,15.2002,18.8,8.78853
,29.73,17.5,15.2613,18.7,9.68772
,30.31,17.7,15.72,18.6,10.1351
,30.29,17.9,14.8322,18.5,9.19337
,29.34,18.05,14.1172,18.5,11.6934
,29.78,18.2,14.0419,18.5,12.4937
,29.82,18.3,13.4668,18.55,11.9858
,29.47,18.4,13.2565,18.6,11.8922
,28.69,18.45,12.7917,18.65,12.1456
,28.01,18.5,13.4938,18.7,10.4493
,27.18,18.5,14.2816,19.05,10.1191
,26.24,18.5,14.1847,19.4,10.7919
,25.63,18.55,13.5596,19.55,9.54303
,25.16,18.6,13.1308,19.7,10.2284
,24.55,18.6,13.0308,19.6,10.337
,23.86,18.6,12.972,19.5,9.02947
,23.17,18.55,12.8942,19.45,8.74409
